Used,Type,Name,PV,Tag,Desc
,Bool,GV4_Fully_Close,BL:$(xx)$(yy):GV4_FULLY_CLOSE,GV4.Fault.Fully_Close,1047 GV4 Fail To Fully Close
,Bool,GV4_Beam_Exposure,BL:$(xx)$(yy):GV4_BEAM_EXPOSURE,GV4.Fault.Beam_Exposure,1048 GV4 Beam Exposure
,Bool,GV4_No_Switch,BL:$(xx)$(yy):GV4_NO_SWITCH,GV4.Fault.No_Switch,1049 GV4 No Switch
X,Bool,GV5_Faulted,BL:$(xx)$(yy):GV5_FAULTED,GV5.Faulted,GV5_Faulted
X,Bool,GV5_Both_Switch,BL:$(xx)$(yy):GV5_BOTH_SWITCH,GV5.Fault.Both_Switch,1051 GV5 Both Switch
X,Bool,GV5_Opened_Switch,BL:$(xx)$(yy):GV5_OPENED_SWITCH,GV5.Fault.Opened_Switch,1052 GV5 Opened Switch
X,Bool,GV5_Fail_to_Open,BL:$(xx)$(yy):GV5_FAIL_TO_OPEN,GV5.Fault.Fail_to_Open,1053 GV5 Fail to Open
X,Bool,GV5_Fully_Open,BL:$(xx)$(yy):GV5_FULLY_OPEN,GV5.Fault.Fully_Open,1054 GV5 Fail To Fully Open
X,Bool,GV5_Closed_Switch,BL:$(xx)$(yy):GV5_CLOSED_SWITCH,GV5.Fault.Closed_Switch,1055 GV5 Closed Switch
X,Bool,GV5_Fail_to_Close,BL:$(xx)$(yy):GV5_FAIL_TO_CLOSE,GV5.Fault.Fail_to_Close,1056 GV5 Fail to Close
X,Bool,GV5_Fully_Close,BL:$(xx)$(yy):GV5_FULLY_CLOSE,GV5.Fault.Fully_Close,1057 GV5 Fail To Fully Close
X,Bool,GV5_Beam_Exposure,BL:$(xx)$(yy):GV5_BEAM_EXPOSURE,GV5.Fault.Beam_Exposure,1058 GV5 Beam Exposure
X,Bool,GV5_No_Switch,BL:$(xx)$(yy):GV5_NO_SWITCH,GV5.Fault.No_Switch,1059 GV5 No Switch
,Bool,GV6_Faulted,BL:$(xx)$(yy):GV6_FAULTED,GV6.Faulted,GV6_Faulted
,Bool,GV6_Both_Switch,BL:$(xx)$(yy):GV6_BOTH_SWITCH,GV6.Fault.Both_Switch,1061 GV6 Both Switch
,Bool,GV6_Opened_Switch,BL:$(xx)$(yy):GV6_OPENED_SWITCH,GV6.Fault.Opened_Switch,1062 GV6 Opened Switch
,Bool,GV6_Fail_to_Open,BL:$(xx)$(yy):GV6_FAIL_TO_OPEN,GV6.Fault.Fail_to_Open,1063 GV6 Fail to Open
,Bool,GV6_Fully_Open,BL:$(xx)$(yy):GV6_FULLY_OPEN,GV6.Fault.Fully_Open,1064 GV6 Fail To Fully Open
,Bool,GV6_Closed_Switch,BL:$(xx)$(yy):GV6_CLOSED_SWITCH,GV6.Fault.Closed_Switch,1065 GV6 Closed Switch
,Bool,GV6_Fail_to_Close,BL:$(xx)$(yy):GV6_FAIL_TO_CLOSE,GV6.Fault.Fail_to_Close,1066 GV6 Fail to Close
,Bool,GV6_Fully_Close,BL:$(xx)$(yy):GV6_FULLY_CLOSE,GV6.Fault.Fully_Close,1067 GV6 Fail To Fully Close
,Bool,GV6_Beam_Exposure,BL:$(xx)$(yy):GV6_BEAM_EXPOSURE,GV6.Fault.Beam_Exposure,1068 GV6 Beam Exposure
,Bool,GV6_No_Switch,BL:$(xx)$(yy):GV6_NO_SWITCH,GV6.Fault.No_Switch,1069 GV6 No Switch
,Bool,GV7_Faulted,BL:$(xx)$(yy):GV7_FAULTED,GV7.Faulted,GV7_Faulted
